CHC;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
260868;Head of Military Intelligence;Li Kenong;1926;1959;1959;ST;Logistics Specialist;Medium;2335;X
260869;Foreign Minister;Li Kenong;1926;1959;1959;ST;Great Compromiser;Medium;2335;X
260870;Chief of Staff;Zhu De;1922;1951;1952;ST;School of Mass Combat;Medium;2336;X
260871;Chief of Army;Zhu De;1922;1951;1952;ST;Guns and Butter Doctrine;Medium;2336;X
260872;Chief of Navy;Ziao Jingguang;1924;1968;1969;ST;Open Seas Doctrine;Medium;9228;X
260873;Chief of Staff;Ziao Jingguang;1924;1968;1969;ST;School of Psychology;Medium;9228;X
260874;Chief of Air Force;Fang Ziyi;1930;1982;1983;ST;Army Aviation Doctrine;Medium;9229;X
260875;Head of State;Ye Jianying;1927;1983;1984;LWR;Insignificant Layman;Medium;9230;X
260876;Chief of Staff;Ye Jianying;1927;1978;1984;LWR;School of Manoeuvre;Medium;9230;X
260877;Chief of Army;Ye Jianying;1927;1978;1984;LWR;Doctrine of autonomy;Medium;9230;X
260878;Minister of Armament;Ye Jianying;1927;1978;1984;LWR;Mixed economy;Medium;9230;X
260879;Chief of Staff;Chen Yi;1923;1966;1967;ST;School of Psychology;Medium;M51045;X
260880;Chief of Army;Chen Yi;1923;1966;1967;ST;Armoured Spearhead Doctrine;Medium;M51045;X
260881;Foreign Minister;Chen Yi;1923;1966;1967;ST;General Staffer;High;M51045;X
260882;Chief of Army;Gao Gang;1926;1954;1954;ST;Elastic Defence Doctrine;Low;M51049;X
260883;Minister of Armament;Gao Gang;1926;1954;1954;ST;Planned economy proponent;Medium;M51049;X
260884;Minister of Security;Ren Bishi;1922;1950;1951;ST;Efficient Sociopath;Medium;9231;X
260885;Minister of Armament;Lin Biao;1924;1971;1972;ST;Military Entrepreneur;High;9232;X
260886;Head of State;Lin Biao;1924;1971;1972;ST;Barking Buffoon;High;9232;X
260887;Head of Government;Lin Biao;1924;1971;1972;ST;Backroom Backstabber;High;9232;X
260888;Chief of Army;Lin Biao;1924;1962;1963;ST;Armoured Spearhead Doctrine;High;9232;X
260889;Minister of Security;Qian Ying;1931;1971;1972;ST;Silent Lawyer;Medium;9233;X
260890;Head of Military Intelligence;Qian Ying;1931;1971;1972;ST;Political Specialist;Medium;9233;X
260891;Minister of Security;Zeng Shan;1926;1974;1975;ST;Back Stabber;Medium;M51060;X
260892;Head of Military Intelligence;Bo Yibo;1928;1983;1984;ST;Technical Specialist;Medium;9234;X
260893;Head of Military Intelligence;Li Xiannian;1931;1974;1975;LE;Logistics Specialist;Medium;321;X
260894;Head of State;Li Xiannian;1931;1988;1989;LE;Insignificant Layman;Medium;321;X
260895;Chief of Army;Li Xiannian;1931;1974;1975;LE;Armoured Spearhead Doctrine;Medium;321;X
260896;Chief of Navy;Jiang Xianyun;1925;1928;1968;LE;Decisive Naval Battle Doctrine;High;9440;X
260897;Chief of Army;Chen Gang;1927;1962;1962;LE;Guns and Butter Doctrine;High;9441;X
51051;Head of Government;Zhou Enlai;1949;1964;1964;ST;Ambitious Union Boss;High;M51051;X
51052;Foreign Minister;Zhou Enlai;1949;1964;1964;ST;Ideological Crusader;High;M51051;X
51053;Minister of Armament;Peng Dehuai;1949;1964;1964;ST;Theoretical Scientist;High;M51053;X
51054;Minister of Security;Ren Bishi;1949;1964;1964;ST;Efficient Sociopath;Medium;M51054;X
51055;Head of Military Intelligence;Peng Zhen;1949;1964;1964;ST;Industrial Specialist;High;M51055;X
51056;Foreign Minister;Chen Yi;1958;1981;1981;ST;General Staffer;High;M51045;X
51057;Minister of Armament;Lin Biao;1959;1981;1981;ST;Military Entrepreneur;High;L76324;X
51058;Minister of Security;Shi Liang;1950;1981;1981;ST;Prince of Terror;Medium;M51058;X
51059;Minister of Security;Qian Ying;1959;1981;1981;ST;Silent Lawyer;Medium;M51059;X
51060;Minister of Security;Zeng Shan;1960;1981;1981;ST;Back Stabber;Medium;M51060;X
51061;Head of Military Intelligence;Bo Yibo;1953;1981;1981;ST;Technical Specialist;High;M51061;X
51062;Head of Military Intelligence;Li Xiannian;1954;1981;1981;ST;Logistics Specialist;High;L76322;X
51063;Head of State;Liu Shaoqi;1959;1981;1981;LE;Die-hard Reformer;Medium;CHC_LiuShaoqi;X
51064;Head of State;Song Qingling;1948;1964;1964;SD;Popular Figurehead;Medium;CHC_SoongCh'ing-ling;X
51065;Head of State;Dong Biwu;1968;1991;1991;ST;Insignificant Layman;Medium;CHC_DongBiwu;X
51066;Head of State;Zhu De;1975;2001;2011;ST;Resigned Generalissimo;Medium;M51007;X
51067;Head of State;Ye Jianying;1981;2011;2011;ST;Die-hard Reformer;Medium;CHC_YeJianying;X
51068;Head of State;Li Xiannian;1983;2011;2011;LE;Resigned Generalissimo;Medium;CHC_LiXiannian;X
51069;Head of State;Yang Shangkun;1988;2011;2011;LE;Resigned Generalissimo;Medium;CHC_YangShangkun;X
51070;Head of State;Jiang Zemin;1993;2011;2011;LE;Autocratic Charmer;Medium;CHC_JiangZemin;X
51071;Head of State;Hu Jintao;2003;2011;2011;LE;Barking Buffoon;Medium;CHC_HuJintao;X
51072;Head of Government;Hua Guofeng;1976;2001;2011;ST;Ambitious Union Boss;Medium;CHC_HuaGuofeng;X
51073;Head of Government;Zhao Ziyang;1980;2011;2011;LE;Naive Optimist;Medium;CHC_ZhaoZiyang;X
51074;Head of Government;Li Peng;1987;2011;2011;LE;Political Protege;Medium;CHC_Li Peng;X
51075;Head of Government;Zhu Rongji;1998;2011;2011;LE;Ambitious Union Boss;Medium;CHC_ZhuRongji;X
51076;Head of Government;Wen Jiabao;2003;2011;2011;LE;Happy Amateur;Medium;CHC_WenJiabao;X
51077;Foreign Minister;Ji Pengfei;1971;2001;2011;LE;Great Compromiser;Medium;CHC_JiPengfei;X
51078;Foreign Minister;Qiao Guanhua;1974;2001;2011;LE;Biased Intellectual;Medium;CHC_QiaoGuanhua;X
51079;Foreign Minister;Huang Hua;1941;1964;1964;LE;Iron fisted Brute;Medium;CHC_HuangHua;X
51080;Foreign Minister;Wu Xueqian;1982;2011;2011;LE;Iron fisted Brute;Medium;CHC_WuXueqian;X
51081;Foreign Minister;Qian Qichen;1988;2011;2011;LE;Great Compromiser;Medium;CHC_QianQichen;X
51082;Foreign Minister;Tang Jiaxuan;1998;2011;2011;LE;Biased Intellectual;Medium;CHC_TangJiaxuan;X
51083;Foreign Minister;Li Zhaoxing;2003;2011;2011;LE;Great Compromiser;Medium;CHC_LiZhaoxing;X
51084;Foreign Minister;Yang Jiechi;2007;2011;2011;LE;Iron fisted Brute;Medium;CHC_YangJiechi;X
51085;Minister of Armament;Ye Jianying;1975;2001;2011;ST;Military Entrepreneur;Medium;CHC_YeJianying;X
51086;Minister of Armament;Xu Xiangqian;1978;2001;2011;ST;Military Entrepreneur;Medium;M51044;X
51087;Minister of Armament;Geng Biao;1981;2011;2011;ST;Air Superiority Proponent;Medium;CHC_GengBiao;X
51088;Minister of Armament;Zhang Aiping;1982;2011;2011;LE;Battle Fleet Proponent;Medium;CHC_ZhangAiping;X
51089;Minister of Armament;Qin Jiwei;1988;2011;2011;ST;Military Entrepreneur;Medium;CHC_QinJiwei;X
51090;Minister of Armament;Chi Haotian;1993;2011;2011;ST;Infantry Proponent;Medium;CHC_ChiHaotian;X
51091;Minister of Armament;Cao Gangchuan;2003;2011;2011;LE;Resource Industrialist;Medium;CHC_CaoGangchuan;X
51092;Minister of Armament;Liang Guanglie;2008;2011;2011;LE;Military Entrepreneur;Medium;CHC_LiangGuanglie;X
51093;Chief of Staff;Nie Rongzhen;1950;1981;1981;ST;School of Fire Support;Medium;CHC_NieRongzhen;X
51094;Chief of Staff;Su Yu;1954;1981;1981;ST;School of Manoeuvre;Medium;CHC_SuYu;X
51095;Chief of Staff;Huang Kecheng;1958;1981;1981;LE;School of Manoeuvre;Medium;CHC_HuangKecheng;X
51096;Chief of Staff;Luo Ruiqing;1959;1981;1981;ST;School of Psychology;Medium;CHC_LuoRuiqing;X
51097;Chief of Staff;Yang Chengwu;1965;1991;1991;ST;School of Defence;Medium;CHC_YangChengwu;X
51098;Chief of Staff;Huang Yongsheng;1968;1991;1991;ST;School of Mass Combat;Medium;CHC_HuangYongsheng;X
51099;Chief of Staff;Deng Xiaoping;1971;2001;2011;LE;School of Psychology;Medium;CHC_DengXiaoping;X
51100;Chief of Staff;Yang Dezhi;1980;2011;2011;LE;School of Fire Support;Medium;CHC_YangDezhi;X
51101;Chief of Staff;Chi Haotian;1987;2011;2011;ST;School of Mass Combat;Medium;CHC_ChiHaotian;X
51102;Chief of Staff;Zhang Wannian;1992;2011;2011;LE;School of Fire Support;Medium;CHC_Zhan Wannian;X
51103;Chief of Staff;Fu Quanyou;1995;2011;2011;LE;School of Defence;Medium;CHC_FuQuanyou;X
51104;Chief of Staff;Liang Guanglie;2002;2011;2011;LE;School of Manoeuvre;Medium;CHC_LiangGuanglie;X
51105;Chief of Staff;Chen Bingde;2007;2011;2011;LE;School of Manoeuvre;Medium;CHC_ChenBingde;X
51106;Head of Military Intelligence;Kang Sheng;1936;1964;1964;ST;Political Specialist;Medium;CHC_KangSheng;X
51107;Minister of Security;Kang Sheng;1936;1964;1964;ST;Prince of Terror;Medium;CHC_KangSheng;X
51108;Head of Military Intelligence;Chen Yun;1936;1964;1964;ST;Industrial Specialist;Medium;CHC_ChenYun;X
51109;Head of Military Intelligence;Pan Hannian;1936;1964;1964;ST;Dismal Enigma;Medium;CHC_PanHannian;X
51110;Head of Military Intelligence;Guang Huian;1936;1964;1964;ST;Logistics Specialist;Medium;CHC_GuangHuian;X
51111;Head of Military Intelligence;Ling Yun;1983;2011;2011;LE;Dismal Enigma;Medium;CHC_LingYun;X
51112;Head of Military Intelligence;Jia Chunwang;1985;2011;2011;LE;Dismal Enigma;Medium;CHC_JiaChunwang;X
51113;Head of Military Intelligence;Xu Yongyue;1998;2011;2011;LE;Dismal Enigma;Medium;CHC_XuYongyue;X
51114;Head of Military Intelligence;Geng Huichang;2007;2011;2011;LE;Industrial Specialist;Medium;CHC_GengHuichang;X
51115;Chief of Army;Nie Rongzhen;1950;1981;1981;ST;Decisive Battle Doctrine;Medium;CHC_NieRongzhen;X
51116;Chief of Army;Su Yu;1954;1981;1981;ST;Decisive Battle Doctrine;Medium;CHC_SuYu;X
51117;Chief of Army;Huang Kecheng;1958;1981;1981;LE;Guns and Butter Doctrine;Medium;CHC_HuangKecheng;X
51118;Chief of Army;Luo Ruiqing;1959;1981;1981;ST;Guns and Butter Doctrine;Medium;CHC_LuoRuiqing;X
51119;Chief of Army;Yang Chengwu;1965;1991;1991;ST;Elastic Defence Doctrine;Medium;CHC_YangChengwu;X
51120;Chief of Army;Huang Yongsheng;1968;1991;1991;ST;Elastic Defence Doctrine;Medium;CHC_HuangYongsheng;X
51121;Chief of Army;Deng Xiaoping;1971;2001;2001;LE;Elastic Defence Doctrine;Medium;CHC_DengXiaoping;X
51122;Chief of Army;Yang Dezhi;1980;2011;2011;LE;Elastic Defence Doctrine;Medium;CHC_YangDezhi;X
51123;Chief of Army;Chi Haotian;1987;2011;2011;ST;Armoured Spearhead Doctrine;Medium;CHC_ChiHaotian;X
51124;Chief of Army;Zhang Wannian;1992;2011;2011;LE;Armoured Spearhead Doctrine;Medium;CHC_Zhan Wannian;X
51125;Chief of Army;Fu Quanyou;1995;2011;2011;LE;Guns and Butter Doctrine;Medium;CHC_FuQuanyou;X
51126;Chief of Army;Liang Guanglie;2002;2011;2011;LE;Elastic Defence Doctrine;Medium;CHC_LiangGuanglie;X
51127;Chief of Army;Chen Bingde;2007;2011;2011;LE;Armoured Spearhead Doctrine;Medium;CHC_ChenBingde;X
51128;Minister of Security;Luo Ruiqing;1949;1964;1964;ST;Prince of Terror;Medium;CHC_LuoRuiqing;X
51129;Minister of Security;Xie Fuzhi;1959;1981;1981;ST;Prince of Terror;Medium;CHC_XieFuzhi;X
51130;Minister of Security;Li Zhen;1972;2001;2011;LE;Prince of Terror;Medium;CHC_LiZhen;X
51131;Minister of Security;Hua Guofeng;1973;2001;2011;ST;Back Stabber;Medium;CHC_HuaGuofeng;X
51132;Minister of Security;Zhao Cangbi;1977;2001;2011;LE;Silent Lawyer;Medium;CHC_ZhaoCangbi;X
51133;Minister of Security;Liu Fuzhi;1983;2011;2011;LE;Efficient Sociopath;Medium;CHC_LiuFuzhi;X
51134;Minister of Security;Ruan Chongwu;1985;2011;2011;LE;Efficient Sociopath;Medium;CHC_RuanChongwu;X
51135;Minister of Security;Wang Fang;1987;2011;2011;LE;Crime Fighter;Medium;CHC_WangFang;X
51136;Minister of Security;Tao Siju;1990;2011;2011;LE;Crooked Kleptocrat;Medium;CHC_TaoSiju;X
51137;Minister of Security;Jia Chunwang;1998;2011;2011;LE;Compassionate Gentleman;Medium;CHC_JiaChunwang;X
51138;Minister of Security;Zhou Yongkang;2002;2011;2011;LE;Efficient Sociopath;Medium;CHC_ZhouYongkang;X
51139;Minister of Security;Meng Jianzhu;2007;2011;2011;LE;Man of the People;Medium;CHC_MengJianzhu;X
51140;Minister of Security;Qian Ying;1954;1981;1981;LE;Man of the People;Medium;CHC_QianYing;X
51141;Minister of Security;Cheng Zihua;1978;2001;2011;LE;Man of the People;Medium;CHC_ChengZihua;X
51142;Minister of Security;Cui Naifu;1982;2011;2011;LE;Efficient Sociopath;Medium;CHC_CuiNaifu;X
51143;Minister of Security;Doje Cering;1993;2011;2011;LE;Man of the People;Medium;CHC_DojeCering;X
51144;Minister of Security;Li Xueju;2003;2011;2011;LE;Compassionate Gentleman;Medium;CHC_LiXueju;X
51145;Minister of Security;Wei Jianxing;1987;2011;2011;LE;Man of the People;Medium;CHC_WeiJianxing;X
51146;Minister of Security;Cao Qingze;1993;2011;2011;LE;Efficient Sociopath;Medium;CHC_CaoQingze;X
51147;Minister of Security;He Yong;1998;2011;2011;LE;Efficient Sociopath;Medium;CHC_HeYong;X
51148;Minister of Security;Li Zhilun;2003;2011;2011;LE;Back Stabber;Medium;CHC_LiZhilun;X
51149;Minister of Security;Ma Wen;2007;2011;2011;LE;Compassionate Gentleman;Medium;CHC_MaWen;X
51150;Chief of Air Force;Liu Yalou;1949;1964;1964;ST;Air Superiority Doctrine;Medium;CHC_LiuYalou;X
51151;Chief of Air Force;Wu Faxian;1965;1991;1991;ST;Army Aviation Doctrine;Medium;CHC_WuFaxian;X
51152;Chief of Air Force;Ma Ning;1973;2001;2011;ST;Naval Aviation Doctrine;Medium;CHC_MaNing;X
51153;Chief of Air Force;Zhang Tingfa;1975;2001;2011;LE;Air Superiority Doctrine;Medium;CHC_ZhangTingfa;X
51154;Chief of Air Force;Wang Hai;1985;2011;2011;LE;Air Superiority Doctrine;Medium;CHC_WangHai;X
51155;Chief of Air Force;Cao Shuangming;1992;2011;2011;LE;Air Superiority Doctrine;Medium;CHC_CaoShuangming;X
51156;Chief of Air Force;Yu Zhenwu;1994;2011;2011;LE;Air Superiority Doctrine;Medium;CHC_YuZhenwu;X
51157;Chief of Air Force;Liu Shunyao;1996;2011;2011;LE;Army Aviation Doctrine;Medium;CHC_LiuShunyao;X
51158;Chief of Air Force;Qiao Qingchen;2002;2011;2011;LE;Army Aviation Doctrine;Medium;CHC_QiaoQingchen;X
51159;Chief of Air Force;Xu Qiliang;2007;2011;2011;LE;Army Aviation Doctrine;Medium;CHC_XuQiliang;X
51160;Chief of Navy;Zhang Aiping;1949;1964;1964;LE;Open Seas Doctrine;Medium;CHC_ZhangAiping;X
51161;Chief of Navy;Ye Fei;1980;2011;2011;LE;Indirect Approach Doctrine;Medium;CHC_YeFei;X
51162;Chief of Navy;Liu Huaqing;1982;2011;2011;LE;Indirect Approach Doctrine;Medium;CHC_LiuHuaqing;X
51163;Chief of Navy;Zhang Lianzhong;1988;2011;2011;LE;Open Seas Doctrine;Medium;CHC_ZhangLianzhong;X
51164;Chief of Navy;Shi Yunsheng;1996;2011;2011;LE;Indirect Approach Doctrine;Medium;CHC_ShiYunsheng;X
51165;Chief of Navy;Zhang Dingfa;2003;2011;2011;LE;Open Seas Doctrine;Medium;CHC_ZhangDingfa;X
51166;Chief of Navy;Wu Shengli;2006;2011;2011;LE;Open Seas Doctrine;Medium;CHC_WuShengli;X
51167;Chief of Staff;Liu Bocheng;1932;1964;1964;LE;School of Manoeuvre;Medium;CHC_Liu_Bocheng;X
51168;Minister of Security;Luo Ronghuan;1934;1964;1964;LE;Man of the People;Medium;CHC_Luo_Ronghuan;X
51169;Chief of Staff;Luo Ronghuan;1949;1964;1964;LE;School of Psychology;Medium;CHC_Luo_Ronghuan;X
51170;Chief of Staff;Otto Braun;1932;1939;1939;LWR;School of Defence;Medium;L76300;X
51171;Chief of Staff;Lin Biao;1932;1964;1964;ST;School of Mass Combat;Medium;CHC_LinBiao;X
51172;Chief of Army;Lin Biao;1932;1964;1964;ST;Decisive Battle Doctrine;Medium;CHC_LinBiao;X
51173;Minister of Security;Nie Rongzhen;1927;1964;1964;ST;Man of the People;Medium;CHC_NieRongzhen;X
51174;Chief of Army;Otto Braun;1936;1939;1939;LWR;Decisive Battle Doctrine;Medium;L76300;X
51175;Chief of Staff;Ye Jianying;1931;1964;1964;ST;School of Defence;Medium;CHC_YeJianying;X
51176;Chief of Army;Ye Jianying;1931;1964;1964;ST;Decisive Battle Doctrine;Medium;CHC_YeJianying;X
51177;Chief of Army;Mao Zedong;1936;1977;1977;ST;Guns and Butter Doctrine;Very high;M51001;X
51178;Minister of Armament;Mao Zemin;1922;1940;1940;ST;Administrative Genius;Medium;CHC_MaoZemin;X
51179;Chief of Staff;Peng Dehuai;1945;1964;1964;LE;School of Manoeuvre;Medium;CHC_PengDehuai;X
51180;Chief of Army;Peng Dehuai;1937;1964;1964;LE;Decisive Battle Doctrine;Medium;CHC_PengDehuai;X
51181;Chief of Army;Zhou Enlai;1936;1964;1964;ST;Guns and Butter Doctrine;Medium;M51051;X
51182;Chief of Staff;Mao Zedong;1936;1977;1977;ST;School of Mass Combat;Very high;M51001;X
51183;Chief of Army;Xiang Ying;1934;1940;1940;ST;Guns and Butter Doctrine;Medium;CHC_XIangYing;X
51184;Minister of Security;Xiang Ying;1934;1940;1940;ST;Efficient Sociopath;Medium;CHC_XIangYing;X
51185;Minister of Security;Jiang Qing;1950;1991;1991;ST;Prince of Terror;Medium;CHC_JiangQing;X
51186;Head of Government;Zhang Wentian;1935;1964;1964;LWR;Political Protege;Medium;CHC_ZhangWentian;X
51187;Foreign Minister;Zhang Wentian;1935;1964;1964;LWR;Biased Intellectual;Medium;CHC_ZhangWentian;X
51188;Head of State;Zhang Wentian;1936;1964;1964;LWR;Insignificant Layman;Medium;CHC_ZhangWentian;X
51189;Head of State;Li Jishen;1933;1964;1964;SD;Resigned Generalissimo;Medium;CHC_LiJishen;X
51190;Head of State;He Xiangning;1960;1981;1981;SD;Insignificant Layman;Medium;CHC_HeXiangning;X
51191;Minister of Security;He Xiangning;1937;1964;1964;SD;Man of the People;Medium;CHC_HeXiangning;X
51192;Head of Military Intelligence;He Xiangning;1938;1964;1964;SD;Political Specialist;Medium;CHC_HeXiangning;X
51193;Foreign Minister;He Xiangning;1949;1964;1964;SD;Biased Intellectual;Medium;CHC_HeXiangning;X
51194;Head of Military Intelligence;Liao Chengzhi;1936;1964;1964;SD;Political Specialist;Medium;CHC_LiaoChengzhi;X
51195;Minister of Armament;Liao Chengzhi;1937;1964;1964;SD;Military Entrepreneur;Medium;CHC_LiaoChengzhi;X
51196;Foreign Minister;Liao Chengzhi;1978;2001;2001;SD;Great Compromiser;Medium;CHC_LiaoChengzhi;X
51197;Minister of Security;Shao Lizi;1949;1964;1964;SD;Back Stabber;Medium;CHC_ShaoLizi;X
51198;Minister of Armament;Shao Lizi;1949;1964;1964;SD;Resource Industrialist;Medium;CHC_ShaoLizi;X
51199;Head of State;Zhu Yunshan;1979;2001;2001;SD;Insignificant Layman;Medium;CHC_ZhuYunshan;X
51200;Minister of Security;Zhu Yunshan;1949;1964;1964;SD;Silent Lawyer;Medium;CHC_ZhuYunshan;X
51201;Head of State;Wang Kunlun;1981;2011;2011;SD;Insignificant Layman;Medium;CHC_WangKunlun;X
51202;Minister of Security;Wang Kunlun;1927;1964;1964;SD;Compassionate Gentleman;Medium;CHC_WangKunlun;X
51203;Minister of Security;Tan Pingshan;1923;1964;1964;SD;Man of the People;Medium;CHC_TanPingshan;X
51204;Head of State;Qu Wu;1985;2011;2011;SD;Die-hard Reformer;Medium;CHC_QuWu;X
51205;Minister of Armament;Zhu Xuefan;1939;1964;1964;SD;Resource Industrialist;Medium;CHC_ZhuXuefan;X
51206;Head of State;Zhu Xuefan;1988;2011;2011;SD;Insignificant Layman;Medium;CHC_ZhuXuefan;X
51207;Head of State;Li Peiyao;1992;2011;2011;SD;Weary Stiffneck;Medium;CHC_LiPeiyao;X
